workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
C_hit,orig,2e_K10,pread,5,128,593.78,726.76,494.03,95.54,100.0,1208.74,229.13,980.46,,,1791.28,1561.26,0.0
C_hit,orig,2e_K500,async,10,128,179.12,181.09,177.35,1.23,47.9,901.74,193.81,695.90,,,1079.44,874.91,0.0
C_hit,orig,2e_K500,async_bulk,5,128,179.19,183.45,177.28,2.47,100.0,638.75,194.66,346.47,92.08,139.00,823.20,525.66,0.0
C_hit,orig,2e_K500,async_win,10,128,178.47,182.15,175.91,1.97,38.4,633.55,193.56,348.05,91.44,139.00,811.11,525.85,0.0
C_hit,orig,2e_K500,pread,5,128,179.07,180.32,175.28,2.07,100.0,3359.97,192.65,3167.32,,,3539.22,3346.57,0.0
C_hit,orig,2f_slru,async,10,128,93.27,95.70,92.36,1.20,100.0,1614.82,194.25,1412.23,,,1708.66,1505.83,0.0
C_hit,orig,2f_slru,async_bulk,5,128,646.02,717.36,640.13,35.73,7.0,398.85,198.49,42.89,158.88,2.00,1077.24,688.91,0.0
C_hit,orig,2f_slru,async_win,10,128,92.92,97.84,91.43,2.39,100.0,763.60,194.35,407.12,159.07,29.00,857.72,499.95,0.0
C_hit,orig,2f_slru,pread,5,128,90.32,91.53,89.60,0.72,100.0,4720.25,193.63,4492.05,,,4810.57,4582.37,0.0
C_hit,orig,2f_top100,async,10,128,551.40,598.93,540.95,21.25,100.0,372.81,193.28,179.38,,,925.89,732.69,0.0
C_hit,orig,2f_top100,async_bulk,5,128,588.88,637.66,547.21,32.81,100.0,337.19,194.41,71.39,65.46,28.00,919.78,661.84,0.0
